# legalhist.whitelist candidates for OCR-corrupted reporter abbreviations (issue #247)
# source: moml_citations.citations_unlinked, spellings not in the whitelist with at least 20 rows, 2026-09-05
# 64189 such spellings, 6620354 rows
# rules: digit (a letter-flanked digit removed), confusion (one OCR letter confusion from
# ocrConfusions in go/citations/ocrvariant.go), digit_letter (a letter-flanked digit read as
# some letter; reported for review only, never seeded). Every corrected spelling is an exact
# entry of the whitelist as it stood when this ran; nothing is normalized. REVIEW BEFORE APPLYING.
# confidence is "canonical" when the corrected spelling is itself a reporter in legalhist.reporters,
# and "via-variant" when it is another whitelist variant that maps onward, in which case the
# proposal inherits that entry's looseness. A spelling whose readings reach more than one reporter
# is AMBIGUOUS when the runner-up's spellings are at least 10%% as frequent in the corpus as the
# winner's; TOJUNK when every reading lands on a junk entry; UNRESOLVED when none is whitelisted.
#
# count	reporter_found	corrected	reporter_standard	rule	confidence	example
4804	"All"	"Atl"	"A."	confusion	via-variant	"000 All 1921"
3588	"Pal."	"Pat."	"P."	confusion	via-variant	"00 Pal. 156"
2584	"Paigc"	"Paige"	"Paige Ch."	confusion	via-variant	"0 Paigc, 027"
2192	"Alt."	"All."	"Allen"	confusion	via-variant	"011 Alt. 71"
2037	"lun"	"Iun"	"Hun"	confusion	via-variant	"00 lun 034"
1803	"I1l."	"Ill."	"Ill."	digit_sub	canonical	"00 I1l.\n\t\t\t2"
1678	"Dcnio"	"Denio"	"Denio"	confusion	canonical	"1 Dcnio, 002"
1483	"lown"	"Iown"	"Iowa"	confusion	via-variant	"00 lown 042"
1402	"Belt"	"Bell"	"Bell"	confusion	canonical	"125 Belt 7"
1357	"lill"	"Iill"	"Ill."	confusion	via-variant	"011 lill 11"
1088	"Cowcn"	"Cowen"	"Cow."	confusion	canonical	"0 Cowcn, 1"
1075	"Out."	"Ont."	"Ont."	confusion	canonical	"0 Out. 171"
980	"Hats."	"Hals."	"Halst."	confusion	via-variant	"01 Hats. 99"
949	"C. A."	"G. A."	"Ga. App."	confusion	via-variant	"001 C. A. 178"
896	"BI. Rep."	"Bl. Rep."	"Black W"	confusion	via-variant	"1 BI. Rep. 04"
878	"lIun"	"llun"	"Hun"	confusion	via-variant	"00 lIun 582"
864	"Se."	"Sc."	"Sc."	confusion	canonical	"000 Se. 4"
